"module name","license","repository"
"@sindresorhus/df@1.0.1","MIT","https://github.com/sindresorhus/df"
"@sindresorhus/df@2.1.0","MIT","https://github.com/sindresorhus/df"
"@sindresorhus/is@0.14.0","MIT","https://github.com/sindresorhus/is"
"@szmarczak/http-timer@1.1.2","MIT","https://github.com/szmarczak/http-timer"
"@types/tinycolor2@1.4.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"ansi-align@3.0.0","ISC","https://github.com/nexdrew/ansi-align"
"ansi-regex@3.0.0","MIT","https://github.com/chalk/ansi-regex"
"ansi-regex@4.1.0","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"array-find-index@1.0.2","MIT","https://github.com/sindresorhus/array-find-index"
"array-union@1.0.2","MIT","https://github.com/sindresorhus/array-union"
"array-uniq@1.0.3","MIT","https://github.com/sindresorhus/array-uniq"
"arrify@1.0.1","MIT","https://github.com/sindresorhus/arrify"
"arrify@2.0.1","MIT","https://github.com/sindresorhus/arrify"
"async@3.1.0","MIT","https://github.com/caolan/async"
"balanced-match@1.0.0","MIT","https://github.com/juliangruber/balanced-match"
"boxen@3.2.0","MIT","https://github.com/sindresorhus/boxen"
"brace-expansion@1.1.11","MIT","https://github.com/juliangruber/brace-expansion"
"cacheable-request@6.1.0","MIT","https://github.com/lukechilds/cacheable-request"
"camelcase-keys@4.2.0","MIT","https://github.com/sindresorhus/camelcase-keys"
"camelcase@4.1.0","MIT","https://github.com/sindresorhus/camelcase"
"camelcase@5.3.1","MIT","https://github.com/sindresorhus/camelcase"
"chalk@2.4.2","MIT","https://github.com/chalk/chalk"
"ci-info@2.0.0","MIT","https://github.com/watson/ci-info"
"cli-boxes@2.2.0","MIT","https://github.com/sindresorhus/cli-boxes"
"clone-response@1.0.2","MIT","https://github.com/lukechilds/clone-response"
"color-convert@1.9.3","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.3","MIT","https://github.com/dfcreative/color-name"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map"
"configstore@4.0.0","BSD-2-Clause","https://github.com/yeoman/configstore"
"cp-file@6.2.0","MIT","https://github.com/sindresorhus/cp-file"
"cross-spawn-async@2.2.5","MIT","https://github.com/IndigoUnited/node-cross-spawn-async"
"cross-spawn@5.1.0","MIT","https://github.com/IndigoUnited/node-cross-spawn"
"crypto-random-string@1.0.0","MIT","https://github.com/sindresorhus/crypto-random-string"
"currently-unhandled@0.4.1","MIT","https://github.com/jamestalmage/currently-unhandled"
"decamelize-keys@1.1.0","MIT","https://github.com/dsblv/decamelize-keys"
"decamelize@1.2.0","MIT","https://github.com/sindresorhus/decamelize"
"decompress-response@3.3.0","MIT","https://github.com/sindresorhus/decompress-response"
"deep-extend@0.6.0","MIT","https://github.com/unclechu/node-deep-extend"
"deepmerge@4.0.0","MIT","https://github.com/TehShrike/deepmerge"
"defer-to-connect@1.0.2","MIT","https://github.com/szmarczak/defer-to-connect"
"dir-glob@2.2.2","MIT","https://github.com/kevva/dir-glob"
"dot-prop@4.2.0","MIT","https://github.com/sindresorhus/dot-prop"
"duplexer3@0.1.4","BSD-3-Clause","https://github.com/floatdrop/duplexer3"
"emoji-regex@7.0.3","MIT","https://github.com/mathiasbynens/emoji-regex"
"end-of-stream@1.4.1","MIT","https://github.com/mafintosh/end-of-stream"
"error-ex@1.3.2","MIT","https://github.com/qix-/node-error-ex"
"escape-string-regexp@1.0.5","MIT","https://github.com/sindresorhus/escape-string-regexp"
"execa@0.2.2","MIT","https://github.com/sindresorhus/execa"
"execa@0.7.0","MIT","https://github.com/sindresorhus/execa"
"find-up@2.1.0","MIT","https://github.com/sindresorhus/find-up"
"flatten-folder-cli@1.0.6","MIT","https://github.com/iTonyYo/flatten-folder-cli"
"fs.realpath@1.0.0","ISC","https://github.com/isaacs/fs.realpath"
"get-stream@3.0.0","MIT","https://github.com/sindresorhus/get-stream"
"get-stream@4.1.0","MIT","https://github.com/sindresorhus/get-stream"
"get-stream@5.1.0","MIT","https://github.com/sindresorhus/get-stream"
"glob@7.1.4","ISC","https://github.com/isaacs/node-glob"
